sentence1,sentence2,label
"我这件服装真不错！", "这服可以连接吗？",0
"这个设计很服帖。", "这服开着吗？",0
"我很服他的做法。", "服现在能玩了吗？",0
"我很佩服他能做到这一点。", "服能正常运行吗？",0
"这条裙子真的很服气。", "服能加入吗？",0
"他的表演让我十分服气。", "服状态正常吗？",0
"她穿这件衣服真是太服了。", "服在线吗？",0
"我对你的能力很服气。", "服能进入吗？",0
"这款服装的设计很有特色。", "服现在可以玩了吗？",0
"我服你这么厉害。", "服可以加入游戏吗？",0
"这个款式的衣服非常服帖。", "服运行正常吗？",0
"他的穿衣风格让我十分服气。", "服开启了吗？",0
"他穿这件衣服很服。", "服现在能连接了吗？",0
"我很服她的坚持。", "服是否在线？",0
"这件衣服的质感很服。", "服是否能用？",0
"她的衣服真是服得让人惊艳。", "服的状态怎么样？",0
"你今天穿的服真的很合适。", "服能正常运行吗？",0
"这件外套特别服气。", "服能启动吗？",0
"我佩服你能这么坚持。", "服现在能用吗？",0
"这件服饰真的很符合我的口味。", "服状态正常吗？",0
"这款服装的设计非常服气。", "服连接上了吗？",0
"他的穿衣风格让我十分佩服。", "服开机了吗？",0
"我对这件衣服十分服气。", "服能正常工作吗？",0
"这个款式的服装让我很服。", "服还在线吗？",0
"我从心底佩服他。", "服能继续运行吗？",0
